iter	Logloss
0	0.5132633482
1	0.3670216107
2	0.2756956058
3	0.2262315425
4	0.1562176562
5	0.125065362
6	0.1036906236
7	0.08788692635
8	0.07742718534
9	0.06300228011
10	0.05699736176
11	0.05216043812
12	0.04942894603
13	0.04628069789
14	0.04467602747
15	0.04325309367
16	0.04115407925
17	0.03948397468
18	0.03632597589
19	0.03450852927
20	0.03240583604
21	0.03139316707
22	0.02963492738
23	0.02854221964
24	0.02824604251
25	0.02681510359
26	0.02651586441
27	0.02612156306
